rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.09,0.2,94.68
2,2,Bayern Munich,German Bundesliga,3.14,0.31,93.56
3,3,Liverpool,Barclays Premier League,2.86,0.29,92.14
4,4,Barcelona,Spanish Primera Division,2.94,0.37,91.56
5,5,Juventus,Italy Serie A,2.7,0.35,90.14
6,6,Paris Saint-Germain,French Ligue 1,2.83,0.49,88.87
7,7,Real Madrid,Spanish Primera Division,2.58,0.56,85.27
8,8,Tottenham Hotspur,Barclays Premier League,2.36,0.48,84.49
9,10,Borussia Dortmund,German Bundesliga,2.54,0.59,84.32
10,9,Chelsea,Barclays Premier League,2.39,0.51,84.31
11,11,Atletico Madrid,Spanish Primera Division,2.19,0.41,83.94
12,12,RB Leipzig,German Bundesliga,2.34,0.52,83.39
13,14,Ajax,Dutch Eredivisie,2.99,0.97,82.41
14,16,Bayer Leverkusen,German Bundesliga,2.47,0.66,82.02
15,13,Napoli,Italy Serie A,2.42,0.64,81.98
16,15,Manchester United,Barclays Premier League,2.32,0.59,81.82
17,17,FC Salzburg,Austrian T-Mobile Bundesliga,2.78,0.88,81.62
18,18,Internazionale,Italy Serie A,2.3,0.65,80.23
19,19,Arsenal,Barclays Premier League,2.32,0.71,79.36
20,21,FC Porto,Portuguese Liga,2.25,0.7,78.41
21,20,Everton,Barclays Premier League,1.97,0.53,78.37
22,24,Sevilla FC,Spanish Primera Division,2.09,0.63,77.64
23,23,Valencia,Spanish Primera Division,2.14,0.7,76.86
24,22,Benfica,Portuguese Liga,2.29,0.83,76.38
25,26,Leicester City,Barclays Premier League,1.97,0.61,76.34
26,25,AC Milan,Italy Serie A,2.1,0.71,76.07
27,31,Athletic Bilbao,Spanish Primera Division,1.84,0.56,75.3
28,29,TSG Hoffenheim,German Bundesliga,2.35,0.92,75.08
29,27,Lyon,French Ligue 1,2.15,0.8,74.91
30,28,Olympiacos,Greek Super League,2.27,0.88,74.85
31,32,Real Sociedad,Spanish Primera Division,1.92,0.68,73.78
32,35,Eintracht Frankfurt,German Bundesliga,2.01,0.75,73.75
33,30,Wolverhampton,Barclays Premier League,1.85,0.65,73.38
34,33,Getafe,Spanish Primera Division,1.8,0.62,73.31
35,36,Eibar,Spanish Primera Division,1.89,0.68,73.22
36,34,Zenit St Petersburg,Russian Premier Liga,1.93,0.74,72.51
37,37,AS Roma,Italy Serie A,2.06,0.85,72.08
38,43,Young Boys,Swiss Raiffeisen Super League,2.35,1.07,72.01
39,38,FC Krasnodar,Russian Premier Liga,1.87,0.72,71.97
40,39,PSV,Dutch Eredivisie,2.17,0.97,71.34
41,44,VfL Wolfsburg,German Bundesliga,1.99,0.83,71.33
42,101,Shakhtar Donetsk,UEFA Champions League,2.12,0.95,70.97
43,41,Borussia Monchengladbach,German Bundesliga,2.0,0.86,70.89
44,42,Palmeiras,Brasileiro Série A,1.75,0.68,70.81
45,48,Villarreal,Spanish Primera Division,2.04,0.92,70.22
46,46,Crystal Palace,Barclays Premier League,1.9,0.81,70.22
47,40,Real Betis,Spanish Primera Division,1.92,0.83,70.14
48,57,Lazio,Italy Serie A,1.92,0.84,69.95
49,51,Southampton,Barclays Premier League,1.9,0.83,69.85
50,45,Leganes,Spanish Primera Division,1.64,0.64,69.82
51,50,Burnley,Barclays Premier League,1.88,0.82,69.73
52,49,Werder Bremen,German Bundesliga,2.0,0.91,69.71
53,53,Newcastle,Barclays Premier League,1.77,0.75,69.56
54,52,Flamengo,Brasileiro Série A,1.97,0.9,69.47
55,62,Lille,French Ligue 1,1.79,0.78,69.16
56,47,PAOK Salonika,Greek Super League,2.04,0.97,69.02
57,59,Espanyol,Spanish Primera Division,1.8,0.8,68.79
58,56,Schalke 04,German Bundesliga,1.82,0.82,68.66
59,60,West Ham United,Barclays Premier League,1.98,0.95,68.63
60,54,AFC Bournemouth,Barclays Premier League,2.05,1.0,68.59
61,58,Club Brugge,Belgian Jupiler League,2.01,0.97,68.51
62,64,Celta Vigo,Spanish Primera Division,1.91,0.91,68.31
63,67,FC Copenhagen,Danish SAS-Ligaen,2.09,1.08,67.42
